"","Location","Occupation","Year","Injuries","OccAbbrev"
"429","  Clutha district","Agriculture and fishery workers","2002",750,"Agr"
"430","  Southland district","Agriculture and fishery workers","2002",1866,"Agr"
"431","  Gore district","Agriculture and fishery workers","2002",699,"Agr"
"432","  Invercargill city","Agriculture and fishery workers","2002",420,"Agr"
"433","  Overseas","Agriculture and fishery workers","2002",NA,"Agr"
"434","  In the air - NZ","Agriculture and fishery workers","2002",NA,"Agr"
"435","  In NZ waters","Agriculture and fishery workers","2002",219,"Agr"
"436","  At sea, not in NZ waters","Agriculture and fishery workers","2002",6,"Agr"
"437","  In the air - overseas","Agriculture and fishery workers","2002",NA,"Agr"
"438","  Not specified","Agriculture and fishery workers","2002",741,"Agr"
"439","  Far North district","Trades workers","2002",330,"Tra"
"440","  Whangarei district","Trades workers","2002",888,"Tra"
"441","  Kaipara district","Trades workers","2002",126,"Tra"
"442","  Auckland city","Trades workers","2002",10221,"Tra"
"443","  Thames-Coromandel district","Trades workers","2002",267,"Tra"
"444","  Hauraki district","Trades workers","2002",135,"Tra"
"445","  Waikato district","Trades workers","2002",288,"Tra"
"446","  Matamata-Piako district","Trades workers","2002",153,"Tra"
"447","  Hamilton city","Trades workers","2002",1455,"Tra"
"448","  Waipa district","Trades workers","2002",99,"Tra"
"449","  Otorohanga district","Trades workers","2002",48,"Tra"
