"","Location","Occupation","Year","Injuries","OccAbbrev"
"5490","  Western Bay of Plenty district","Clerks","2010",15,"Cle"
"5491","  Tauranga city","Clerks","2010",240,"Cle"
"5492","  Rotorua district","Clerks","2010",114,"Cle"
"5493","  Whakatane district","Clerks","2010",57,"Cle"
"5494","  Kawerau district","Clerks","2010",6,"Cle"
"5495","  Opotiki district","Clerks","2010",6,"Cle"
"5496","  Gisborne district","Clerks","2010",78,"Cle"
"5497","  Wairoa district","Clerks","2010",18,"Cle"
"5498","  Hastings district","Clerks","2010",126,"Cle"
"5499","  Napier city","Clerks","2010",114,"Cle"
"5500","  Central Hawke's Bay district","Clerks","2010",9,"Cle"
"5501","  New Plymouth district","Clerks","2010",93,"Cle"
"5502","  Stratford district","Clerks","2010",6,"Cle"
"5503","  South Taranaki district","Clerks","2010",24,"Cle"
"5504","  Ruapehu district","Clerks","2010",18,"Cle"
"5505","  Whanganui district","Clerks","2010",69,"Cle"
"5506","  Rangitikei district","Clerks","2010",6,"Cle"
"5507","  Manawatu district","Clerks","2010",33,"Cle"
"5508","  Palmerston North city","Clerks","2010",219,"Cle"
"5509","  Tararua district","Clerks","2010",12,"Cle"
"5510","  Horowhenua district","Clerks","2010",18,"Cle"
"5511","  Kapiti Coast district","Clerks","2010",45,"Cle"
"5512","  Porirua city","Clerks","2010",78,"Cle"
"5513","  Upper Hutt city","Clerks","2010",60,"Cle"
"5514","  Lower Hutt city","Clerks","2010",162,"Cle"
"5515","  Wellington city","Clerks","2010",327,"Cle"
"5516","  Masterton district","Clerks","2010",48,"Cle"
"5517","  Carterton district","Clerks","2010",6,"Cle"
"5518","  South Wairarapa district","Clerks","2010",6,"Cle"
"5519","  Tasman district","Clerks","2010",24,"Cle"
"5520","  Nelson city","Clerks","2010",111,"Cle"
"5521","  Marlborough district","Clerks","2010",69,"Cle"
"5522","  Kaikoura district","Clerks","2010",6,"Cle"
"5523","  Buller district","Clerks","2010",9,"Cle"
"5524","  Grey district","Clerks","2010",27,"Cle"
"5525","  Westland district","Clerks","2010",15,"Cle"
"5526","  Hurunui district","Clerks","2010",15,"Cle"
"5527","  Waimakariri district","Clerks","2010",30,"Cle"
"5528","  Christchurch city","Clerks","2010",879,"Cle"
"5529","  Selwyn district","Clerks","2010",30,"Cle"
"5530","  Ashburton district","Clerks","2010",42,"Cle"
"5531","  Timaru district","Clerks","2010",66,"Cle"
"5532","  Mackenzie district","Clerks","2010",NA,"Cle"
"5533","  Waimate district","Clerks","2010",NA,"Cle"
"5534","  Chatham Islands territory","Clerks","2010",NA,"Cle"
"5535","  Waitaki district","Clerks","2010",21,"Cle"
"5536","  Central Otago district","Clerks","2010",33,"Cle"
"5537","  Queenstown-Lakes district","Clerks","2010",51,"Cle"
"5538","  Dunedin city","Clerks","2010",216,"Cle"
"5539","  Clutha district","Clerks","2010",12,"Cle"
"5540","  Southland district","Clerks","2010",27,"Cle"
"5541","  Gore district","Clerks","2010",12,"Cle"
"5542","  Invercargill city","Clerks","2010",57,"Cle"
"5543","  Overseas","Clerks","2010",NA,"Cle"
"5544","  In the air - NZ","Clerks","2010",NA,"Cle"
"5545","  In NZ waters","Clerks","2010",NA,"Cle"
"5546","  At sea, not in NZ waters","Clerks","2010",NA,"Cle"
"5547","  In the air - overseas","Clerks","2010",NA,"Cle"
"5548","  Not specified","Clerks","2010",39,"Cle"
"5549","  Far North district","Service and sales workers","2010",318,"Ser"
"5550","  Whangarei district","Service and sales workers","2010",504,"Ser"
"5551","  Kaipara district","Service and sales workers","2010",54,"Ser"
"5552","  Auckland city","Service and sales workers","2010",7377,"Ser"
"5553","  Thames-Coromandel district","Service and sales workers","2010",201,"Ser"
"5554","  Hauraki district","Service and sales workers","2010",57,"Ser"
"5555","  Waikato district","Service and sales workers","2010",171,"Ser"
"5556","  Matamata-Piako district","Service and sales workers","2010",123,"Ser"
"5557","  Hamilton city","Service and sales workers","2010",882,"Ser"
"5558","  Waipa district","Service and sales workers","2010",141,"Ser"
"5559","  Otorohanga district","Service and sales workers","2010",30,"Ser"
"5560","  South Waikato district","Service and sales workers","2010",81,"Ser"
"5561","  Waitomo district","Service and sales workers","2010",63,"Ser"
"5562","  Taupo district","Service and sales workers","2010",249,"Ser"
"5563","  Western Bay of Plenty district","Service and sales workers","2010",78,"Ser"
"5564","  Tauranga city","Service and sales workers","2010",834,"Ser"
"5565","  Rotorua district","Service and sales workers","2010",456,"Ser"
"5566","  Whakatane district","Service and sales workers","2010",165,"Ser"
"5567","  Kawerau district","Service and sales workers","2010",18,"Ser"
"5568","  Opotiki district","Service and sales workers","2010",36,"Ser"
"5569","  Gisborne district","Service and sales workers","2010",219,"Ser"
"5570","  Wairoa district","Service and sales workers","2010",27,"Ser"
"5571","  Hastings district","Service and sales workers","2010",459,"Ser"
"5572","  Napier city","Service and sales workers","2010",510,"Ser"
"5573","  Central Hawke's Bay district","Service and sales workers","2010",45,"Ser"
"5574","  New Plymouth district","Service and sales workers","2010",435,"Ser"
"5575","  Stratford district","Service and sales workers","2010",24,"Ser"
"5576","  South Taranaki district","Service and sales workers","2010",84,"Ser"
"5577","  Ruapehu district","Service and sales workers","2010",468,"Ser"
"5578","  Whanganui district","Service and sales workers","2010",336,"Ser"
"5579","  Rangitikei district","Service and sales workers","2010",57,"Ser"
"5580","  Manawatu district","Service and sales workers","2010",465,"Ser"
"5581","  Palmerston North city","Service and sales workers","2010",780,"Ser"
"5582","  Tararua district","Service and sales workers","2010",39,"Ser"
"5583","  Horowhenua district","Service and sales workers","2010",297,"Ser"
"5584","  Kapiti Coast district","Service and sales workers","2010",183,"Ser"
"5585","  Porirua city","Service and sales workers","2010",276,"Ser"
"5586","  Upper Hutt city","Service and sales workers","2010",384,"Ser"
"5587","  Lower Hutt city","Service and sales workers","2010",372,"Ser"
"5588","  Wellington city","Service and sales workers","2010",1050,"Ser"
"5589","  Masterton district","Service and sales workers","2010",162,"Ser"
"5590","  Carterton district","Service and sales workers","2010",24,"Ser"
"5591","  South Wairarapa district","Service and sales workers","2010",54,"Ser"
"5592","  Tasman district","Service and sales workers","2010",147,"Ser"
"5593","  Nelson city","Service and sales workers","2010",372,"Ser"
"5594","  Marlborough district","Service and sales workers","2010",375,"Ser"
"5595","  Kaikoura district","Service and sales workers","2010",30,"Ser"
"5596","  Buller district","Service and sales workers","2010",42,"Ser"
"5597","  Grey district","Service and sales workers","2010",90,"Ser"
"5598","  Westland district","Service and sales workers","2010",117,"Ser"
"5599","  Hurunui district","Service and sales workers","2010",48,"Ser"
"5600","  Waimakariri district","Service and sales workers","2010",120,"Ser"
"5601","  Christchurch city","Service and sales workers","2010",2481,"Ser"
"5602","  Selwyn district","Service and sales workers","2010",342,"Ser"
"5603","  Ashburton district","Service and sales workers","2010",153,"Ser"
"5604","  Timaru district","Service and sales workers","2010",264,"Ser"
"5605","  Mackenzie district","Service and sales workers","2010",96,"Ser"
"5606","  Waimate district","Service and sales workers","2010",18,"Ser"
"5607","  Chatham Islands territory","Service and sales workers","2010",6,"Ser"
"5608","  Waitaki district","Service and sales workers","2010",87,"Ser"
"5609","  Central Otago district","Service and sales workers","2010",180,"Ser"
"5610","  Queenstown-Lakes district","Service and sales workers","2010",432,"Ser"
"5611","  Dunedin city","Service and sales workers","2010",771,"Ser"
"5612","  Clutha district","Service and sales workers","2010",84,"Ser"
"5613","  Southland district","Service and sales workers","2010",138,"Ser"
"5614","  Gore district","Service and sales workers","2010",90,"Ser"
"5615","  Invercargill city","Service and sales workers","2010",195,"Ser"
"5616","  Overseas","Service and sales workers","2010",168,"Ser"
"5617","  In the air - NZ","Service and sales workers","2010",6,"Ser"
"5618","  In NZ waters","Service and sales workers","2010",15,"Ser"
"5619","  At sea, not in NZ waters","Service and sales workers","2010",18,"Ser"
"5620","  In the air - overseas","Service and sales workers","2010",NA,"Ser"
"5621","  Not specified","Service and sales workers","2010",144,"Ser"
"5622","  Far North district","Agriculture and fishery workers","2010",1014,"Agr"
"5623","  Whangarei district","Agriculture and fishery workers","2010",807,"Agr"
"5624","  Kaipara district","Agriculture and fishery workers","2010",411,"Agr"
"5625","  Auckland city","Agriculture and fishery workers","2010",3111,"Agr"
"5626","  Thames-Coromandel district","Agriculture and fishery workers","2010",438,"Agr"
"5627","  Hauraki district","Agriculture and fishery workers","2010",318,"Agr"
"5628","  Waikato district","Agriculture and fishery workers","2010",1128,"Agr"
"5629","  Matamata-Piako district","Agriculture and fishery workers","2010",1131,"Agr"
"5630","  Hamilton city","Agriculture and fishery workers","2010",657,"Agr"
"5631","  Waipa district","Agriculture and fishery workers","2010",828,"Agr"
"5632","  Otorohanga district","Agriculture and fishery workers","2010",246,"Agr"
"5633","  South Waikato district","Agriculture and fishery workers","2010",450,"Agr"
"5634","  Waitomo district","Agriculture and fishery workers","2010",360,"Agr"
"5635","  Taupo district","Agriculture and fishery workers","2010",468,"Agr"
"5636","  Western Bay of Plenty district","Agriculture and fishery workers","2010",504,"Agr"
"5637","  Tauranga city","Agriculture and fishery workers","2010",1158,"Agr"
"5638","  Rotorua district","Agriculture and fishery workers","2010",648,"Agr"
"5639","  Whakatane district","Agriculture and fishery workers","2010",435,"Agr"
"5640","  Kawerau district","Agriculture and fishery workers","2010",39,"Agr"
"5641","  Opotiki district","Agriculture and fishery workers","2010",198,"Agr"
"5642","  Gisborne district","Agriculture and fishery workers","2010",969,"Agr"
"5643","  Wairoa district","Agriculture and fishery workers","2010",255,"Agr"
"5644","  Hastings district","Agriculture and fishery workers","2010",1215,"Agr"
"5645","  Napier city","Agriculture and fishery workers","2010",504,"Agr"
"5646","  Central Hawke's Bay district","Agriculture and fishery workers","2010",519,"Agr"
"5647","  New Plymouth district","Agriculture and fishery workers","2010",708,"Agr"
"5648","  Stratford district","Agriculture and fishery workers","2010",243,"Agr"
"5649","  South Taranaki district","Agriculture and fishery workers","2010",573,"Agr"
"5650","  Ruapehu district","Agriculture and fishery workers","2010",309,"Agr"
"5651","  Whanganui district","Agriculture and fishery workers","2010",456,"Agr"
"5652","  Rangitikei district","Agriculture and fishery workers","2010",360,"Agr"
"5653","  Manawatu district","Agriculture and fishery workers","2010",402,"Agr"
"5654","  Palmerston North city","Agriculture and fishery workers","2010",447,"Agr"
"5655","  Tararua district","Agriculture and fishery workers","2010",483,"Agr"
"5656","  Horowhenua district","Agriculture and fishery workers","2010",222,"Agr"
"5657","  Kapiti Coast district","Agriculture and fishery workers","2010",99,"Agr"
"5658","  Porirua city","Agriculture and fishery workers","2010",54,"Agr"
"5659","  Upper Hutt city","Agriculture and fishery workers","2010",48,"Agr"
"5660","  Lower Hutt city","Agriculture and fishery workers","2010",63,"Agr"
"5661","  Wellington city","Agriculture and fishery workers","2010",159,"Agr"
"5662","  Masterton district","Agriculture and fishery workers","2010",444,"Agr"
"5663","  Carterton district","Agriculture and fishery workers","2010",108,"Agr"
"5664","  South Wairarapa district","Agriculture and fishery workers","2010",288,"Agr"
"5665","  Tasman district","Agriculture and fishery workers","2010",603,"Agr"
"5666","  Nelson city","Agriculture and fishery workers","2010",330,"Agr"
"5667","  Marlborough district","Agriculture and fishery workers","2010",834,"Agr"
"5668","  Kaikoura district","Agriculture and fishery workers","2010",102,"Agr"
"5669","  Buller district","Agriculture and fishery workers","2010",120,"Agr"
"5670","  Grey district","Agriculture and fishery workers","2010",102,"Agr"
"5671","  Westland district","Agriculture and fishery workers","2010",162,"Agr"
"5672","  Hurunui district","Agriculture and fishery workers","2010",552,"Agr"
"5673","  Waimakariri district","Agriculture and fishery workers","2010",381,"Agr"
"5674","  Christchurch city","Agriculture and fishery workers","2010",1035,"Agr"
"5675","  Selwyn district","Agriculture and fishery workers","2010",504,"Agr"
"5676","  Ashburton district","Agriculture and fishery workers","2010",975,"Agr"
"5677","  Timaru district","Agriculture and fishery workers","2010",585,"Agr"
"5678","  Mackenzie district","Agriculture and fishery workers","2010",159,"Agr"
"5679","  Waimate district","Agriculture and fishery workers","2010",249,"Agr"
"5680","  Chatham Islands territory","Agriculture and fishery workers","2010",39,"Agr"
"5681","  Waitaki district","Agriculture and fishery workers","2010",444,"Agr"
"5682","  Central Otago district","Agriculture and fishery workers","2010",630,"Agr"
"5683","  Queenstown-Lakes district","Agriculture and fishery workers","2010",147,"Agr"
"5684","  Dunedin city","Agriculture and fishery workers","2010",444,"Agr"
"5685","  Clutha district","Agriculture and fishery workers","2010",645,"Agr"
"5686","  Southland district","Agriculture and fishery workers","2010",1179,"Agr"
"5687","  Gore district","Agriculture and fishery workers","2010",504,"Agr"
"5688","  Invercargill city","Agriculture and fishery workers","2010",189,"Agr"
"5689","  Overseas","Agriculture and fishery workers","2010",NA,"Agr"
"5690","  In the air - NZ","Agriculture and fishery workers","2010",NA,"Agr"
"5691","  In NZ waters","Agriculture and fishery workers","2010",57,"Agr"
"5692","  At sea, not in NZ waters","Agriculture and fishery workers","2010",NA,"Agr"
"5693","  In the air - overseas","Agriculture and fishery workers","2010",NA,"Agr"
"5694","  Not specified","Agriculture and fishery workers","2010",129,"Agr"
"5695","  Far North district","Trades workers","2010",627,"Tra"
"5696","  Whangarei district","Trades workers","2010",927,"Tra"
"5697","  Kaipara district","Trades workers","2010",153,"Tra"
"5698","  Auckland city","Trades workers","2010",12531,"Tra"
"5699","  Thames-Coromandel district","Trades workers","2010",411,"Tra"
"5700","  Hauraki district","Trades workers","2010",129,"Tra"
"5701","  Waikato district","Trades workers","2010",432,"Tra"
"5702","  Matamata-Piako district","Trades workers","2010",369,"Tra"
"5703","  Hamilton city","Trades workers","2010",1623,"Tra"
"5704","  Waipa district","Trades workers","2010",342,"Tra"
"5705","  Otorohanga district","Trades workers","2010",48,"Tra"
"5706","  South Waikato district","Trades workers","2010",156,"Tra"
"5707","  Waitomo district","Trades workers","2010",69,"Tra"
"5708","  Taupo district","Trades workers","2010",396,"Tra"
"5709","  Western Bay of Plenty district","Trades workers","2010",165,"Tra"
"5710","  Tauranga city","Trades workers","2010",1671,"Tra"
"5711","  Rotorua district","Trades workers","2010",633,"Tra"
"5712","  Whakatane district","Trades workers","2010",264,"Tra"
"5713","  Kawerau district","Trades workers","2010",87,"Tra"
"5714","  Opotiki district","Trades workers","2010",57,"Tra"
"5715","  Gisborne district","Trades workers","2010",426,"Tra"
"5716","  Wairoa district","Trades workers","2010",54,"Tra"
"5717","  Hastings district","Trades workers","2010",798,"Tra"
"5718","  Napier city","Trades workers","2010",666,"Tra"
"5719","  Central Hawke's Bay district","Trades workers","2010",162,"Tra"
"5720","  New Plymouth district","Trades workers","2010",795,"Tra"
"5721","  Stratford district","Trades workers","2010",69,"Tra"
"5722","  South Taranaki district","Trades workers","2010",159,"Tra"
"5723","  Ruapehu district","Trades workers","2010",114,"Tra"
"5724","  Whanganui district","Trades workers","2010",393,"Tra"
"5725","  Rangitikei district","Trades workers","2010",90,"Tra"
"5726","  Manawatu district","Trades workers","2010",207,"Tra"
"5727","  Palmerston North city","Trades workers","2010",765,"Tra"
"5728","  Tararua district","Trades workers","2010",108,"Tra"
"5729","  Horowhenua district","Trades workers","2010",192,"Tra"
"5730","  Kapiti Coast district","Trades workers","2010",327,"Tra"
"5731","  Porirua city","Trades workers","2010",303,"Tra"
"5732","  Upper Hutt city","Trades workers","2010",243,"Tra"
"5733","  Lower Hutt city","Trades workers","2010",582,"Tra"
"5734","  Wellington city","Trades workers","2010",1284,"Tra"
"5735","  Masterton district","Trades workers","2010",288,"Tra"
"5736","  Carterton district","Trades workers","2010",57,"Tra"
"5737","  South Wairarapa district","Trades workers","2010",75,"Tra"
"5738","  Tasman district","Trades workers","2010",270,"Tra"
"5739","  Nelson city","Trades workers","2010",624,"Tra"
"5740","  Marlborough district","Trades workers","2010",360,"Tra"
"5741","  Kaikoura district","Trades workers","2010",60,"Tra"
"5742","  Buller district","Trades workers","2010",90,"Tra"
"5743","  Grey district","Trades workers","2010",156,"Tra"
"5744","  Westland district","Trades workers","2010",102,"Tra"
"5745","  Hurunui district","Trades workers","2010",105,"Tra"
"5746","  Waimakariri district","Trades workers","2010",393,"Tra"
"5747","  Christchurch city","Trades workers","2010",3720,"Tra"
"5748","  Selwyn district","Trades workers","2010",156,"Tra"
"5749","  Ashburton district","Trades workers","2010",357,"Tra"
"5750","  Timaru district","Trades workers","2010",489,"Tra"
"5751","  Mackenzie district","Trades workers","2010",48,"Tra"
"5752","  Waimate district","Trades workers","2010",39,"Tra"
"5753","  Chatham Islands territory","Trades workers","2010",NA,"Tra"
"5754","  Waitaki district","Trades workers","2010",216,"Tra"
"5755","  Central Otago district","Trades workers","2010",309,"Tra"
"5756","  Queenstown-Lakes district","Trades workers","2010",492,"Tra"
"5757","  Dunedin city","Trades workers","2010",1044,"Tra"
"5758","  Clutha district","Trades workers","2010",174,"Tra"
"5759","  Southland district","Trades workers","2010",243,"Tra"
"5760","  Gore district","Trades workers","2010",168,"Tra"
"5761","  Invercargill city","Trades workers","2010",288,"Tra"
"5762","  Overseas","Trades workers","2010",6,"Tra"
"5763","  In the air - NZ","Trades workers","2010",NA,"Tra"
"5764","  In NZ waters","Trades workers","2010",NA,"Tra"
"5765","  At sea, not in NZ waters","Trades workers","2010",NA,"Tra"
"5766","  In the air - overseas","Trades workers","2010",NA,"Tra"
"5767","  Not specified","Trades workers","2010",69,"Tra"
"5768","  Far North district","Plant and machine operators and assemblers","2010",567,"Pla"
"5769","  Whangarei district","Plant and machine operators and assemblers","2010",642,"Pla"
"5770","  Kaipara district","Plant and machine operators and assemblers","2010",84,"Pla"
"5771","  Auckland city","Plant and machine operators and assemblers","2010",8556,"Pla"
"5772","  Thames-Coromandel district","Plant and machine operators and assemblers","2010",276,"Pla"
"5773","  Hauraki district","Plant and machine operators and assemblers","2010",87,"Pla"
"5774","  Waikato district","Plant and machine operators and assemblers","2010",417,"Pla"
"5775","  Matamata-Piako district","Plant and machine operators and assemblers","2010",408,"Pla"
"5776","  Hamilton city","Plant and machine operators and assemblers","2010",1116,"Pla"
"5777","  Waipa district","Plant and machine operators and assemblers","2010",237,"Pla"
"5778","  Otorohanga district","Plant and machine operators and assemblers","2010",63,"Pla"
"5779","  South Waikato district","Plant and machine operators and assemblers","2010",201,"Pla"
"5780","  Waitomo district","Plant and machine operators and assemblers","2010",276,"Pla"
"5781","  Taupo district","Plant and machine operators and assemblers","2010",306,"Pla"
"5782","  Western Bay of Plenty district","Plant and machine operators and assemblers","2010",261,"Pla"
"5783","  Tauranga city","Plant and machine operators and assemblers","2010",1017,"Pla"
"5784","  Rotorua district","Plant and machine operators and assemblers","2010",540,"Pla"
"5785","  Whakatane district","Plant and machine operators and assemblers","2010",201,"Pla"
"5786","  Kawerau district","Plant and machine operators and assemblers","2010",99,"Pla"
"5787","  Opotiki district","Plant and machine operators and assemblers","2010",48,"Pla"
"5788","  Gisborne district","Plant and machine operators and assemblers","2010",516,"Pla"
"5789","  Wairoa district","Plant and machine operators and assemblers","2010",150,"Pla"
"5790","  Hastings district","Plant and machine operators and assemblers","2010",738,"Pla"
"5791","  Napier city","Plant and machine operators and assemblers","2010",558,"Pla"
"5792","  Central Hawke's Bay district","Plant and machine operators and assemblers","2010",201,"Pla"
"5793","  New Plymouth district","Plant and machine operators and assemblers","2010",633,"Pla"
"5794","  Stratford district","Plant and machine operators and assemblers","2010",72,"Pla"
"5795","  South Taranaki district","Plant and machine operators and assemblers","2010",420,"Pla"
"5796","  Ruapehu district","Plant and machine operators and assemblers","2010",147,"Pla"
"5797","  Whanganui district","Plant and machine operators and assemblers","2010",555,"Pla"
"5798","  Rangitikei district","Plant and machine operators and assemblers","2010",159,"Pla"
"5799","  Manawatu district","Plant and machine operators and assemblers","2010",420,"Pla"
"5800","  Palmerston North city","Plant and machine operators and assemblers","2010",507,"Pla"
"5801","  Tararua district","Plant and machine operators and assemblers","2010",96,"Pla"
"5802","  Horowhenua district","Plant and machine operators and assemblers","2010",216,"Pla"
"5803","  Kapiti Coast district","Plant and machine operators and assemblers","2010",147,"Pla"
"5804","  Porirua city","Plant and machine operators and assemblers","2010",204,"Pla"
"5805","  Upper Hutt city","Plant and machine operators and assemblers","2010",123,"Pla"
"5806","  Lower Hutt city","Plant and machine operators and assemblers","2010",375,"Pla"
"5807","  Wellington city","Plant and machine operators and assemblers","2010",693,"Pla"
"5808","  Masterton district","Plant and machine operators and assemblers","2010",219,"Pla"
"5809","  Carterton district","Plant and machine operators and assemblers","2010",54,"Pla"
"5810","  South Wairarapa district","Plant and machine operators and assemblers","2010",66,"Pla"
"5811","  Tasman district","Plant and machine operators and assemblers","2010",270,"Pla"
"5812","  Nelson city","Plant and machine operators and assemblers","2010",492,"Pla"
"5813","  Marlborough district","Plant and machine operators and assemblers","2010",450,"Pla"
"5814","  Kaikoura district","Plant and machine operators and assemblers","2010",45,"Pla"
"5815","  Buller district","Plant and machine operators and assemblers","2010",120,"Pla"
"5816","  Grey district","Plant and machine operators and assemblers","2010",249,"Pla"
"5817","  Westland district","Plant and machine operators and assemblers","2010",144,"Pla"
"5818","  Hurunui district","Plant and machine operators and assemblers","2010",96,"Pla"
"5819","  Waimakariri district","Plant and machine operators and assemblers","2010",210,"Pla"
"5820","  Christchurch city","Plant and machine operators and assemblers","2010",2676,"Pla"
"5821","  Selwyn district","Plant and machine operators and assemblers","2010",165,"Pla"
"5822","  Ashburton district","Plant and machine operators and assemblers","2010",531,"Pla"
"5823","  Timaru district","Plant and machine operators and assemblers","2010",438,"Pla"
"5824","  Mackenzie district","Plant and machine operators and assemblers","2010",48,"Pla"
"5825","  Waimate district","Plant and machine operators and assemblers","2010",39,"Pla"
"5826","  Chatham Islands territory","Plant and machine operators and assemblers","2010",18,"Pla"
"5827","  Waitaki district","Plant and machine operators and assemblers","2010",402,"Pla"
"5828","  Central Otago district","Plant and machine operators and assemblers","2010",204,"Pla"
"5829","  Queenstown-Lakes district","Plant and machine operators and assemblers","2010",237,"Pla"
"5830","  Dunedin city","Plant and machine operators and assemblers","2010",693,"Pla"
"5831","  Clutha district","Plant and machine operators and assemblers","2010",159,"Pla"
"5832","  Southland district","Plant and machine operators and assemblers","2010",540,"Pla"
"5833","  Gore district","Plant and machine operators and assemblers","2010",111,"Pla"
"5834","  Invercargill city","Plant and machine operators and assemblers","2010",540,"Pla"
"5835","  Overseas","Plant and machine operators and assemblers","2010",NA,"Pla"
"5836","  In the air - NZ","Plant and machine operators and assemblers","2010",NA,"Pla"
"5837","  In NZ waters","Plant and machine operators and assemblers","2010",24,"Pla"
"5838","  At sea, not in NZ waters","Plant and machine operators and assemblers","2010",NA,"Pla"
"5839","  In the air - overseas","Plant and machine operators and assemblers","2010",NA,"Pla"
"5840","  Not specified","Plant and machine operators and assemblers","2010",234,"Pla"
"5841","  Far North district","Elementary occupations","2010",324,"Ele"
"5842","  Whangarei district","Elementary occupations","2010",405,"Ele"
"5843","  Kaipara district","Elementary occupations","2010",54,"Ele"
"5844","  Auckland city","Elementary occupations","2010",6864,"Ele"
"5845","  Thames-Coromandel district","Elementary occupations","2010",165,"Ele"
"5846","  Hauraki district","Elementary occupations","2010",51,"Ele"
"5847","  Waikato district","Elementary occupations","2010",240,"Ele"
"5848","  Matamata-Piako district","Elementary occupations","2010",138,"Ele"
"5849","  Hamilton city","Elementary occupations","2010",777,"Ele"
"5850","  Waipa district","Elementary occupations","2010",111,"Ele"
"5851","  Otorohanga district","Elementary occupations","2010",36,"Ele"
"5852","  South Waikato district","Elementary occupations","2010",114,"Ele"
"5853","  Waitomo district","Elementary occupations","2010",63,"Ele"
"5854","  Taupo district","Elementary occupations","2010",192,"Ele"
"5855","  Western Bay of Plenty district","Elementary occupations","2010",96,"Ele"
"5856","  Tauranga city","Elementary occupations","2010",828,"Ele"
"5857","  Rotorua district","Elementary occupations","2010",354,"Ele"
"5858","  Whakatane district","Elementary occupations","2010",141,"Ele"
"5859","  Kawerau district","Elementary occupations","2010",63,"Ele"
"5860","  Opotiki district","Elementary occupations","2010",36,"Ele"
"5861","  Gisborne district","Elementary occupations","2010",270,"Ele"
"5862","  Wairoa district","Elementary occupations","2010",48,"Ele"
"5863","  Hastings district","Elementary occupations","2010",549,"Ele"
"5864","  Napier city","Elementary occupations","2010",471,"Ele"
"5865","  Central Hawke's Bay district","Elementary occupations","2010",114,"Ele"
"5866","  New Plymouth district","Elementary occupations","2010",342,"Ele"
"5867","  Stratford district","Elementary occupations","2010",42,"Ele"
"5868","  South Taranaki district","Elementary occupations","2010",141,"Ele"
"5869","  Ruapehu district","Elementary occupations","2010",75,"Ele"
"5870","  Whanganui district","Elementary occupations","2010",237,"Ele"
"5871","  Rangitikei district","Elementary occupations","2010",45,"Ele"
"5872","  Manawatu district","Elementary occupations","2010",141,"Ele"
"5873","  Palmerston North city","Elementary occupations","2010",450,"Ele"
"5874","  Tararua district","Elementary occupations","2010",39,"Ele"
"5875","  Horowhenua district","Elementary occupations","2010",129,"Ele"
"5876","  Kapiti Coast district","Elementary occupations","2010",102,"Ele"
"5877","  Porirua city","Elementary occupations","2010",183,"Ele"
"5878","  Upper Hutt city","Elementary occupations","2010",96,"Ele"
"5879","  Lower Hutt city","Elementary occupations","2010",342,"Ele"
"5880","  Wellington city","Elementary occupations","2010",693,"Ele"
"5881","  Masterton district","Elementary occupations","2010",123,"Ele"
"5882","  Carterton district","Elementary occupations","2010",33,"Ele"
"5883","  South Wairarapa district","Elementary occupations","2010",24,"Ele"
"5884","  Tasman district","Elementary occupations","2010",132,"Ele"
"5885","  Nelson city","Elementary occupations","2010",381,"Ele"
"5886","  Marlborough district","Elementary occupations","2010",288,"Ele"
"5887","  Kaikoura district","Elementary occupations","2010",30,"Ele"
"5888","  Buller district","Elementary occupations","2010",30,"Ele"
"5889","  Grey district","Elementary occupations","2010",114,"Ele"
"5890","  Westland district","Elementary occupations","2010",60,"Ele"
"5891","  Hurunui district","Elementary occupations","2010",33,"Ele"
"5892","  Waimakariri district","Elementary occupations","2010",132,"Ele"
"5893","  Christchurch city","Elementary occupations","2010",2223,"Ele"
"5894","  Selwyn district","Elementary occupations","2010",87,"Ele"
"5895","  Ashburton district","Elementary occupations","2010",213,"Ele"
"5896","  Timaru district","Elementary occupations","2010",336,"Ele"
"5897","  Mackenzie district","Elementary occupations","2010",15,"Ele"
"5898","  Waimate district","Elementary occupations","2010",18,"Ele"
"5899","  Chatham Islands territory","Elementary occupations","2010",6,"Ele"
"5900","  Waitaki district","Elementary occupations","2010",99,"Ele"
"5901","  Central Otago district","Elementary occupations","2010",102,"Ele"
"5902","  Queenstown-Lakes district","Elementary occupations","2010",138,"Ele"
"5903","  Dunedin city","Elementary occupations","2010",615,"Ele"
"5904","  Clutha district","Elementary occupations","2010",90,"Ele"
"5905","  Southland district","Elementary occupations","2010",198,"Ele"
"5906","  Gore district","Elementary occupations","2010",69,"Ele"
"5907","  Invercargill city","Elementary occupations","2010",234,"Ele"
"5908","  Overseas","Elementary occupations","2010",NA,"Ele"
"5909","  In the air - NZ","Elementary occupations","2010",NA,"Ele"
"5910","  In NZ waters","Elementary occupations","2010",12,"Ele"
"5911","  At sea, not in NZ waters","Elementary occupations","2010",NA,"Ele"
"5912","  In the air - overseas","Elementary occupations","2010",NA,"Ele"
"5913","  Not specified","Elementary occupations","2010",84,"Ele"
"5914","  Far North district","Legislators administrators and managers","2011",189,"Leg"
"5915","  Whangarei district","Legislators administrators and managers","2011",246,"Leg"
"5916","  Kaipara district","Legislators administrators and managers","2011",33,"Leg"
"5917","  Auckland city","Legislators administrators and managers","2011",4728,"Leg"
"5918","  Thames-Coromandel district","Legislators administrators and managers","2011",111,"Leg"
"5919","  Hauraki district","Legislators administrators and managers","2011",27,"Leg"
"5920","  Waikato district","Legislators administrators and managers","2011",132,"Leg"
